route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
51,2019-09,1906,1909,206,206,0,0.6040333333333333,0.6569000000000002,0.05286666666666684,3,3,neutral,false
51,2019-12,1909,1911,206,206,0,0.6569000000000002,0.7542333333333334,0.09733333333333327,3,3,neutral,false
51,2020-03,1911,2003,206,618,412,0.7542333333333334,0.7817666666666666,0.027533333333333188,3,3,increase,true
51,2020-04,2003,2003EMERG,618,270,-348,0.7708666666666666,0.7650333333333332,-0.005833333333333357,3,3,cut,true
51,2020-09,2003EMERG,2009,270,206,-64,0.7340333333333332,0.7195,-0.014533333333333176,3,3,cut,false
51,2020-12,2009,2011,206,206,0,0.7195,0.7541666666666668,0.034666666666666734,3,3,neutral,false
51L,2019-04,1811,1903,26,26,0,0.7196666666666666,0.6464333333333333,-0.07323333333333326,3,3,neutral,false
51L,2019-07,1903,1906,26,26,0,0.6464333333333333,0.6953333333333332,0.048899999999999944,3,3,neutral,false
51L,2019-09,1906,1909,26,26,0,0.6984333333333334,0.6712333333333333,-0.027200000000000002,3,3,neutral,false
51L,2019-12,1909,1911,26,26,0,0.6712333333333333,0.7470333333333333,0.07579999999999998,3,3,neutral,false
