stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
X70086,0.120454545,0.0,KANE BLVD AT BOWER HILL RD,40.3719,-80.0827,No Shelter,Bus,Bus Stop,0.120454545,false
N43630,3.306818,24.063634999999998,PERRYSVILLE AVE AT MCINTYRE AVE,40.4687,-80.0095,No Shelter,Bus,Bus Stop,27.370452999999998,false
S04320,6.6136365,23.70682,ARLINGTON AVE OPP CLOVER ST,40.4176,-79.9713,No Shelter,Bus,Bus Stop,30.3204565,false
E70991,1.90227295,2.0022727,BEDFORD AVE AT LOGAN ST,40.4426,-79.991,No Shelter,Bus,Bus Stop,3.9045456499999998,false
E54860,0.17272727499999999,0.0,UNITY TRESTLE RD AT COLLEGE AVE,40.4846,-79.7675,No Shelter,Bus,Bus Stop,0.17272727499999999,false
N70012,0.7068182000000001,19.679547,MCKNIGHT RD OPP NORTH HILLS VILLAGE (CENTER EN,40.5254,-80.0054,No Shelter,Bus,Bus Stop,20.3863652,false
E10210,0.9386363499999999,5.1704545,WOLFE AVE AT PALLAS ST,40.4058,-79.8456,No Shelter,Bus,Bus Stop,6.109090849999999,false
E08051,2.4545455,0.45681820000000006,BLACK ST OPP CHISLETT ST,40.4697,-79.9304,No Shelter,Bus,Bus Stop,2.9113637,false
E34820,0.675,1.409091,LEMINGTON AVE OPP #7249,40.467,-79.8917,No Shelter,Bus,Bus Stop,2.084091,false
S48820,12.3272725,0.62727275,WHITAKER WAY AT LARKSPUR ST,40.4033,-79.89,No Shelter,Bus,Bus Stop,12.954545249999999,false
S70399,9.67045454545455,4.597727272727275,LEWIS RUN RD OPP SOUTHWESTERN HEALTH CENTER,40.3286,-79.9382,No Shelter,Bus,Bus Stop,14.268181818181827,false
W03720,1.3954545454545455,16.88636363636365,CHARTIERS AVE AT SINGER AVE,40.465,-80.074,No Shelter,Bus,Bus Stop,18.281818181818196,false
E41110,87.82273,163.047725,MURRAY AVE AT BEACON ST,40.4349,-79.9229,No Shelter,Bus,Bus Stop,250.87045500000002,false
E29790,8.947725,43.027275,HOMEWOOD AVE OPP FINANCE ST (EAST BUSWAY),40.4532,-79.8985,No Shelter,Bus,Bus Stop,51.975,false
N51620,0.25227275,1.7704545,SUNSET AVE AT NORRIS ST,40.4712,-80.0007,No Shelter,Bus,Bus Stop,2.02272725,false
S70377,1.0545454545454545,2.038636363636365,STATE ST AT MAPLE AVE,40.2986,-79.8756,No Shelter,Bus,Bus Stop,3.0931818181818196,false
X18590,0.62045455,0.65227275,VANADIUM RD OPP VOLUNTEER FIRE COMPANY,40.3745,-80.093,No Shelter,Bus,Bus Stop,1.2727273000000001,false
E20550,29.922725,19.297729,FRANKSTOWN AVE AT MURTLAND ST,40.4585,-79.9009,No Shelter,Bus,Bus Stop,49.220454000000004,false
N43330,3.3545455,29.220455,PERRYSVILLE AVE AT FRANKLIN RD FS,40.4904,-80.0187,No Shelter,Bus,Bus Stop,32.5750005,false
S14237,1.359091,10.0522725,CHALFONT ST AT DELMONT AVE,40.4166,-80.004,No Shelter,Bus,Bus Stop,11.4113635,false
